"","type","hours","AsPct"
"1","Administrative and support",214293168912.346,22
"2","Social service and care",242407942490.26,24.8
"3","Maintenance, building, and cleanup",33406512936.2157,3.4
"4","Performing and cultural activities",84004533570.012,8.6
"5","Meetings, conferences, and training",75840703986.0458,7.8
"6","Public health and safety",8863777640.15161,0.9
"7","Waiting",1721145855.82922,0.2
"8","Travel",110517155232.906,11.3
"9","Other",204849085677.623,21
"10",NA,NA,NA
"11","Total",975904026301.388,100
